,train_loss,train_rmse,train_mape,train_wmape,valid_loss,valid_rmse,valid_mape,valid_wmape
0,0.68444451,0.97221712,1.56436146,0.94090741,0.59891338,0.84080187,2.10642104,0.87116553
1,0.44125752,0.69462289,1.82871817,0.62623211,0.24677041,0.3830478,1.58323698,0.39377643
2,0.2739026,0.43152708,1.57091712,0.3931419,0.20141465,0.30404122,1.48512979,0.32803291
3,0.24620234,0.38970528,1.4514327,0.3537465,0.18884965,0.28717958,1.39739713,0.31082504
4,0.23147459,0.36818833,1.37319577,0.33304204,0.18204265,0.27604795,1.34079424,0.29877953
5,0.22026629,0.35222956,1.3046377,0.3170983,0.17089459,0.26298387,1.28115579,0.28243725
6,0.2119379,0.34048275,1.26645841,0.30573407,0.16886612,0.25957666,1.28299691,0.27842608
7,0.20587604,0.33253692,1.24121038,0.29751547,0.16146708,0.25241469,1.26627195,0.2708564
8,0.20180933,0.32706206,1.21078894,0.29201525,0.16023071,0.24872464,1.26881361,0.26712766
9,0.19833733,0.32242764,1.19441846,0.28685908,0.15601997,0.24487785,1.24328854,0.26190805
10,0.19554458,0.31894329,1.17523878,0.2829834,0.15715554,0.24537269,1.2603952,0.26448006
11,0.19335725,0.3160726,1.16085014,0.27977363,0.15591396,0.24283297,1.23445546,0.2614699
12,0.19097866,0.31266091,1.15168142,0.27663455,0.15767019,0.24500166,1.19472097,0.26037873
13,0.18906122,0.31032208,1.1365982,0.2738831,0.14919326,0.23754973,1.19024029,0.25144405
14,0.18766371,0.30900474,1.12979394,0.27213655,0.15490635,0.24168755,1.20075269,0.25882863
15,0.18611611,0.30704105,1.11657098,0.27007926,0.1530805,0.24025586,1.1840896,0.25533256
16,0.18508048,0.30579234,1.1124337,0.26839544,0.14933899,0.2370884,1.18475778,0.25182545
17,0.18357357,0.3032047,1.11348219,0.26662524,0.14932409,0.23714353,1.1890573,0.25298464
18,0.18321474,0.30316992,1.10543298,0.26559773,0.14849361,0.23608726,1.18619684,0.25079993
19,0.18158567,0.30038649,1.10047044,0.26383251,0.150231,0.23689784,1.19886495,0.25349504
20,0.18097249,0.30000639,1.09189661,0.26255752,0.14678693,0.23444128,1.17010474,0.24840615
21,0.18040566,0.29885503,1.09837028,0.26205814,0.14734815,0.23399227,1.1781374,0.24789794
22,0.17950065,0.2980432,1.09636917,0.26087885,0.14966971,0.2367478,1.20025607,0.25205541
23,0.17887068,0.2972439,1.0876097,0.26001199,0.15099867,0.23812079,1.19516002,0.25320552
24,0.17816422,0.29674372,1.08463469,0.25908554,0.14712234,0.23431785,1.17636005,0.24867491
25,0.17780783,0.29593448,1.08552542,0.25860269,0.14946601,0.23617633,1.17583005,0.24985912
26,0.17743503,0.29569439,1.08409253,0.25795759,0.15085642,0.23779752,1.18615709,0.25296845
27,0.17690208,0.29455964,1.0813307,0.25717455,0.14752062,0.23352513,1.19705934,0.24872123
28,0.17652535,0.29495001,1.07708684,0.25690189,0.14907515,0.23614567,1.20587035,0.25269872
29,0.17583919,0.29415837,1.0777155,0.2558609,0.14602001,0.23333368,1.16410464,0.24584596
30,0.17594389,0.29405542,1.0754664,0.2561107,0.1494317,0.23672723,1.19369883,0.25247403
31,0.17536748,0.29358067,1.07531732,0.25513101,0.14726134,0.23387152,1.18004996,0.248207
32,0.17493135,0.29269951,1.07321574,0.2543906,0.15218817,0.23857102,1.2162081,0.25572166
33,0.17483531,0.29275344,1.07718497,0.25445615,0.15430831,0.23905552,1.22356653,0.25773585
34,0.17430684,0.29180454,1.07132652,0.2533564,0.14470353,0.23236493,1.15433544,0.24494478
35,0.17386768,0.29126926,1.06201397,0.25296253,0.15280448,0.23912476,1.21164568,0.25595074
36,0.17383475,0.29130755,1.07191756,0.25279397,0.14863225,0.23497525,1.21053532,0.25163712
37,0.17332389,0.29120306,1.06742127,0.2521215,0.14485426,0.23223842,1.19245352,0.24661613
38,0.17282859,0.2900535,1.0634513,0.25164828,0.14710953,0.23390364,1.19444709,0.24944903
39,0.17249414,0.29000258,1.06345585,0.25139869,0.14342608,0.23096505,1.17439631,0.24430796
40,0.17264132,0.2899914,1.06432001,0.25131832,0.14588154,0.23292575,1.19785486,0.24828337
41,0.17246012,0.29050615,1.064463,0.25123833,0.14928909,0.23446336,1.22484882,0.25153449
42,0.17222929,0.28907484,1.06666215,0.25080392,0.15104636,0.23723477,1.18823054,0.25199346
43,0.17234147,0.2893604,1.06158275,0.25075667,0.15288124,0.23853272,1.25321925,0.25898916
44,0.17157757,0.28848174,1.06452347,0.25010834,0.149875,0.23569458,1.20467516,0.25289401
45,0.17120622,0.2880753,1.0587861,0.24941637,0.14535896,0.23181325,1.20564423,0.24753567
46,0.17132693,0.28847063,1.05926445,0.24965456,0.14792955,0.23428042,1.19178316,0.25071558
47,0.17115613,0.2880594,1.05846932,0.24947152,0.15009387,0.2363725,1.18298792,0.25247172
48,0.17069499,0.28770801,1.06060405,0.24911286,0.14936509,0.23602582,1.19443295,0.25149905
49,0.17083377,0.28792909,1.05173759,0.24880746,0.14393926,0.23090443,1.16095028,0.24423977
50,0.170619,0.28784916,1.05516366,0.24858549,0.14678201,0.23409978,1.21616006,0.2506652
51,0.17026639,0.2870109,1.05329747,0.24817693,0.14832041,0.23436816,1.16967905,0.24906125
52,0.17026561,0.28702917,1.05096831,0.24773299,0.14551826,0.23292625,1.20920619,0.24780674
53,0.16999838,0.28676233,1.0528644,0.24785725,0.14393659,0.23122652,1.17973007,0.2448992
54,0.16987263,0.28666453,1.05394583,0.24764389,0.14672888,0.23384616,1.18221936,0.24962844
55,0.16954061,0.2866182,1.04543127,0.24700053,0.14414484,0.23068966,1.19160866,0.24470591
56,0.16989456,0.28684084,1.04689347,0.24734137,0.14541904,0.23194578,1.18900045,0.24707456
57,0.16919798,0.28584392,1.04975154,0.24669787,0.15254535,0.23869767,1.19076538,0.25432503
58,0.16930391,0.2860391,1.04682064,0.24709981,0.15045185,0.23695009,1.171241,0.25277678
59,0.16974776,0.2872803,1.04554966,0.24761844,0.14699933,0.23427004,1.19384803,0.24932576
